entrez_id	symbol
100128808	LOC100128808
100128809	LOC100128809
100128810	LOC100128810
100128811	LOC100128811
100128813	LOC100128813
100128815	LOC100128815
100128816	UNQ3104
100128817	LOC100128817
100128818	UNQ6126
100128819	LOC100128819
100128822	LOC100128822
100128823	LOC100128823
100128824	LOC100128824
100128825	LOC100128825
100128826	LOC100128826
100128827	LOC100128827
100128830	LOC100128830
100128831	LOC100128831
100128832	LOC100128832
100128833	LOC100128833
100128834	LOC100128834
100128836	LOC100128836
100128837	LOC100128837
100128838	LOC100128838
100128840	LOC100128840
100128841	LOC100128841
100128842	LOC100128842
100128843	LOC100128843
100128844	LOC100128844
100128845	LOC100128845
100128848	LOC100128848
100128849	LOC100128849
100128851	LOC100128851
100128852	LOC100128852
100128853	LOC100128853
100128854	LOC100128854
100128855	LOC100128855
100128856	LOC100128856
100128857	LOC100128857
100128858	LOC100128858
100128859	LOC100128859
100128860	LOC100128860
100128862	LOC100128862
100128863	RPS15AP29
100128865	LOC100128865
100128867	LOC100128867
100128868	LOC100128868
100128869	LOC100128869
100128870	LOC100128870
100128874	LOC100128874
